Device Time, G(x), G(y), G(z), G(calibrated), Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),GPS Altitude(m),Acceleration Sensor(Z axis)(g),GPS Bearing(°),Trip Distance(km),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS Accuracy(m),Engine RPM(rpm),Engine Coolant Temperature(°C),Speed (GPS)(km/h),Speed (OBD)(km/h)
11-mai-2016 20:29:34.574,0.48492432,8.76309204,0.55381775,0.06427937,0.07209813,-0.08960066,1.06768119,117.09999847,-0.12525865,40.04999924,10.14608383,48.82937241,2.08036995,10,0,4505,71,122.75055695,122
11-mai-2016 20:29:34.672,-0.52842712,10.46438599,-3.1897583,0.07387447,0.03567919,0.03955308,1.00828862,117.19999695,0.13170806,40.08000183,10.14608383,48.82941818,2.0804317,10,0,4505,70,123.97288513,122
11-mai-2016 20:29:34.772,-0.47698975,8.73197937,4.46009827,0.09345877,0.13071211,-0.02715784,0.78510433,117.19999695,0.71271795,39.90000153,10.14608383,48.82944489,2.08046174,10,0,4544,70,124.02843475,122
11-mai-2016 20:29:34.873,-0.76412964,8.25820923,6.07884216,0.15834424,-0.0213182,-0.23546286,0.94828469,117.30000305,-0.14977226,40.04999924,10.15493298,48.82946777,2.08049178,10,0,4544,70,124.47290802,124
11-mai-2016 20:29:34.975,-1.97489929,9.8135376,-2.80091858,0.13704842,-0.11943725,-0.11350454,0.76095623,117.30000305,0.32769561,40.04999924,10.15944481,48.82946777,2.08049178,10,0.88,4568,70,124.47290802,124
11-mai-2016 20:29:35.075,-1.03451538,10.91662598,-2.05436707,0.23001552,0.1376275,-0.10545518,1.11280584,117.40000153,-0.30941558,40.02000046,10.15944481,48.82951355,2.08055162,10,0,4588,70,125.3433609,124
11-mai-2016 20:29:35.177,-1.89353943,8.34075928,-1.75765991,0.0799775,-0.10739762,-0.10338179,0.85706019,117.5,0.12573208,40.02999878,10.16452885,48.82953644,2.08058333,10,0,4588,70,125.38039398,125
11-mai-2016 20:29:35.275,-1.3288269,9.27516174,0.42340088,0.05842033,-0.10739762,-0.10338179,0.85706019,117.59999847,0.12573208,39.90000153,10.16952896,48.82956314,2.08061337,10,0,4618,70,125.99155426,125
11-mai-2016 20:29:35.375,0.06619263,9.17106628,6.00346375,0.07221802,-0.04356449,-0.13545635,0.94548029,117.59999847,-0.05683987,39.90000153,10.16952896,48.82956314,2.08061337,10,0.88,4629,70,125.99155426,125
11-mai-2016 20:29:35.472,-0.27719116,8.46159363,3.05430603,0.01023138,-0.04064971,-0.17875181,0.93913722,117.69999695,-0.17611505,39.88999939,10.175107,48.82961273,2.08067489,10,0,4629,70,126.89903259,126
11-mai-2016 20:29:35.574,-1.08955383,8.9329834,-4.36224365,0.03797492,-0.01473918,-0.12582201,0.9549917,117.69999695,-0.30551299,39.83000183,10.18013191,48.82963562,2.08070493,10,0,4659,70,127.39907837,127
11-mai-2016 20:29:35.674,-0.73780823,8.92939758,2.51234436,0.04417317,-0.05911039,-0.01910848,0.91742963,117.80000305,0.10646184,39.86999893,10.18013191,48.82966232,2.08073664,10,0,4678,70,127.67687988,127
11-mai-2016 20:29:35.774,0.71224976,9.69749451,-1.32096863,0.07128369,0.27307171,-0.16009285,1.08560908,117.90000153,0.54453683,39.79000092,10.18567085,48.82968521,2.08076668,10,0,4678,70,128.08432007,127
11-mai-2016 20:29:35.873,-0.41357422,10.65342712,-0.33631897,0.18011141,-0.19778554,-0.03179147,0.61131436,117.90000153,0.4180662,39.81000137,10.19106865,48.82971191,2.08079839,10,0,4595,70,128.21395874,127
11-mai-2016 20:29:35.974,0.51124573,8.96408081,9.84992981,0.17032997,0.3432487,-0.14777382,1.19451892,117.90000153,-0.69529182,39.81000137,10.19106865,48.82971191,2.08079839,10,0,4595,70,128.21395874,127
11-mai-2016 20:29:36.078,-0.70310974,10.67735291,-2.38098145,0.17469899,0.26011896,-0.0017903,0.81913096,118.09999847,0.85699356,39.81000137,10.19801807,48.82976151,2.08086157,10,0,4766,70,128.60287476,127
11-mai-2016 20:29:36.173,-1.28935242,9.66040039,-0.87110901,0.09021962,-0.33917758,0.08723952,0.63765717,118.19999695,0.0488984,39.86999893,10.19801807,48.82978821,2.08089328,10,0,4870,70,128.56584167,127
11-mai-2016 20:29:36.272,-0.90530396,7.35731506,6.08840942,-0.03563381,-0.22908901,0.03296738,0.76754194,118.19999695,-0.16074894,39.93999863,10.20338058,48.8298111,2.08092499,10,0,4650,70,128.491745,127
11-mai-2016 20:29:36.373,0.53158569,8.43885803,6.65670776,0.002113,0.00266231,-0.03106042,0.73046666,118.30000305,0.58563757,39.86999893,10.20766735,48.82983398,2.0809567,10,0,4650,70,128.45471191,126
11-mai-2016 20:29:36.471,0.14276123,10.63786316,-3.01867676,0.04298015,0.12768318,0.01455262,1.08438969,118.30000305,-0.40771422,39.97000122,10.20766735,48.82986069,2.08098841,10,0,4453,70,128.08432007,126
11-mai-2016 20:29:36.572,-0.00440979,9.69270325,5.81921387,0.24521136,0.12768318,0.01455262,1.08438969,118.40000153,-0.40771422,39.72999954,10.21270752,48.82988358,2.08102012,10,0,4236,70,128.02876282,126
11-mai-2016 20:29:36.672,-0.0247345,7.19459534,5.68162537,0.11069213,0.00145891,0.0222349,0.67997581,118.40000153,0.63442057,39.72999954,10.21687222,48.82988358,2.08102012,10,0,4025,70,128.02876282,126
11-mai-2016 20:29:36.773,-1.10629272,9.29669189,-0.17359924,0.09188909,-0.07882006,-0.06703757,0.90413535,118.5,-0.26136363,39.91999817,10.22170258,48.82993317,2.08108163,10,0,4025,70,127.43611908,126
11-mai-2016 20:29:36.875,-1.36352539,8.32041931,1.88661194,-0.02649969,-0.08136629,0.02333304,0.66131681,118.5,0.53673166,39.90999985,10.22170258,48.82995605,2.08111334,10,0,3869,70,126.97311401,126
11-mai-2016 20:29:36.974,-1.38386536,9.4390564,-0.01687622,0.06525117,-0.05772724,-0.09691741,0.92852759,118.59999847,0.02536005,39.86000061,10.22769833,48.82998276,2.08114338,10,0,3869,70,126.65827179,125
11-mai-2016 20:29:37.074,0.29231262,10.01333618,-0.38417053,0.07634552,0.09007107,0.07199473,0.84498537,118.69999695,0.58429521,39.79000092,10.23248959,48.83000565,2.08117342,10,0,3848,70,126.63975525,125
11-mai-2016 20:29:37.172,0.02670288,9.92121887,4.58332825,0.0936367,0.03677972,-0.10277206,1.01414168,118.80000305,0.08743734,39.86000061,10.23248959,48.83002853,2.08120489,10,0,3839,70,126.54715729,125
11-mai-2016 20:29:37.272,0.39161682,7.9914093,0.93426514,-0.0860858,-0.07127564,-0.12460255,0.82486272,118.80000305,0.30745012,39.86000061,10.23821831,48.83002853,2.08120489,10,0.88,3839,70,126.54715729,125
11-mai-2016 20:29:37.373,0.21095276,7.24006653,4.64793396,-0.03005903,-0.12241376,0.02150385,0.73802918,118.90000153,0.37379551,39.83000183,10.23821831,48.83007812,2.08126497,10,0,3824,70,126.41751862,125
11-mai-2016 20:29:37.474,0.0255127,7.96748352,6.17814636,-0.00548805,-0.12241376,0.02150385,0.73802918,118.90000153,0.37379551,39.83000183,10.24575329,48.83007812,2.08126497,10,0,3824,70,126.41751862,125
11-mai-2016 20:29:37.576,-1.13980103,8.84683228,2.8868103,0.01747919,0.02537244,-0.0041079,0.90925735,119,0.37318578,39.75,10.24575329,48.83012772,2.08132505,10,0,3821,70,126.28787994,125
11-mai-2016 20:29:37.671,0.45980835,8.79420471,3.82958984,0.0716629,-0.08316237,0.02260198,0.81449574,119.09999847,0.31964624,39.83000183,10.25152874,48.8301506,2.08135509,10,0,3821,70,125.75080109,124
11-mai-2016 20:29:37.773,0.32580566,8.36109924,1.37095642,0.02282583,0.00637817,-0.09228379,0.99145728,119.09999847,0.04353216,39.81000137,10.25697136,48.83017731,2.0813849,10,0,3807,70,125.84339905,124
